Sum of Deaths,Column Labels,,,,,,,
Row Labels,Jul,Jun,May,Apr,Mar,Feb,Jan,Grand Total
US,3703024,3518537,2728676,1035013,26160,1,0,11011411
United Kingdom,1215249,1258183,1055051,456808,12484,0,0,3997775
Brazil,2008065,1353392,509030,66571,976,0,0,3938034
Italy,944402,1028841,973585,644171,116616,102,0,3707717
France,811526,883613,845222,486814,21330,19,0,3048524
Spain,767006,828405,834880,548160,54579,0,0,3033030
Mexico,980584,562682,165485,19390,136,0,0,1728277
India,671178,331856,94154,14417,226,0,0,1111831
Iran,358835,273942,215665,141323,34200,171,0,1024136
Belgium,264332,289543,273995,132664,3145,0,0,963679
Germany,244903,264281,242992,115270,3876,0,0,871322
Canada,238556,245820,174037,40599,554,0,0,699566
China,125401,139165,143763,118290,98488,46417,889,672413
Peru,348985,210384,81546,11056,142,0,0,652113
Netherlands,166126,182259,173232,94860,5837,0,0,622314
Russia,311627,215268,82313,10123,54,0,0,619385
Turkey,145675,145450,124363,49592,976,0,0,466056
Sweden,150003,148005,110620,39340,945,0,0,448913
Ecuador,137915,118831,76863,12586,423,0,0,346618
Chile,201905,101418,15833,3274,50,0,0,322480
Pakistan,142652,88853,28177,4893,154,0,0,264729
Colombia,156964,57268,17976,4249,68,0,0,236525
Indonesia,102897,66560,35759,14067,989,0,0,220272
Switzerland,53169,58301,57753,36069,2566,0,0,207858
Egypt,106275,54759,19547,6017,338,0,0,186936
South Africa,122647,48178,9779,1363,12,0,0,181979
Ireland,47223,51089,46680,16660,296,0,0,161948
Portugal,44866,45356,37567,18022,792,0,0,146603
Romania,52188,43273,32626,11630,314,0,0,140031
Iraq,89327,25196,4085,2275,509,0,0,121392
Poland,42787,38238,27459,9321,213,0,0,118018
Bangladesh,65491,37194,10746,2153,49,0,0,115633
Philippines,42679,33051,24374,10091,669,28,0,110892
Saudi Arabia,61470,31522,9632,2487,39,0,0,105150
Argentina,55772,26775,11562,3482,158,0,0,97749
Japan,26592,28137,23070,6828,892,40,0,85559
Ukraine,38380,27975,15181,3623,89,0,0,85248
Bolivia,51548,20104,5482,887,11,0,0,78032
Algeria,27950,23600,16901,9197,324,0,0,77972
Austria,19132,20495,19474,11663,626,0,0,71390
Dominican Republic,24628,18404,12982,5552,220,0,0,61786
Denmark,16461,17867,16639,9093,542,0,0,60602
Panama,26264,14003,8266,3087,136,0,0,51756
Hungary,16015,16819,13618,4482,119,0,0,51053
Guatemala,34845,12749,1318,205,16,0,0,49133
Afghanistan,28308,14907,4994,860,29,0,0,49098
Nigeria,20032,13324,5475,574,11,0,0,39416
Moldova,17638,12597,6349,1591,21,0,0,38196
Honduras,22317,10175,4322,1107,20,0,0,37941
Sudan,17845,13743,3524,282,21,0,0,35415
South Korea,7855,8337,8104,6533,2606,83,0,33518
Czechia,9637,10017,9018,4582,110,0,0,33364
Israel,10327,9082,8164,3960,94,0,0,31627
Finland,8872,9750,8784,2863,69,0,0,30338
Serbia,11140,7697,6909,3059,71,0,0,28876
Belarus,12750,9483,4986,1171,1,0,0,28391
Armenia,15793,8745,2012,527,12,0,0,27089
Norway,6834,7290,7048,4258,234,0,0,25664
United Arab Emirates,8987,8767,6431,1170,32,0,0,25387
Morocco,7059,6388,5918,3613,192,0,0,23170
Kuwait,10672,8890,3288,234,0,0,0,23084
Cameroon,9666,7717,4122,825,24,0,0,22354
North Macedonia,10572,6176,3164,1283,40,0,0,21235
Greece,5263,5567,4958,3088,339,0,0,19215
Yemen,10983,5932,790,2,0,0,0,17707
Bulgaria,7687,5500,3285,1111,71,0,0,17654
Bosnia and Herzegovina,6297,5006,3748,1272,50,0,0,16373
Kyrgyzstan,13445,973,407,154,0,0,0,14979
Kazakhstan,10204,2941,1024,442,10,0,0,14621
Azerbaijan,8650,3939,1227,429,37,0,0,14282
Malaysia,3295,3576,3443,2393,264,0,0,12971
Oman,7543,3322,774,164,1,0,0,11804
Luxembourg,2991,3300,3228,1943,162,0,0,11624
El Salvador,7800,2638,809,181,1,0,0,11429
Australia,3234,3075,3071,1817,190,0,0,11387
Slovenia,3030,3276,3191,1746,83,0,0,11326
Congo (Kinshasa),5146,3414,1628,659,41,0,0,10888
Kenya,5631,3215,1314,297,6,0,0,10463
Croatia,3238,3178,2877,1043,36,0,0,10372
Mali,3257,3041,1544,382,5,0,0,8229
Cuba,2339,2527,2389,862,28,0,0,8145
Senegal,4171,2115,773,118,0,0,0,7177
Qatar,3961,2366,576,215,5,0,0,7123
Lithuania,2141,2242,1744,845,47,0,0,7019
Somalia,2494,2587,1679,246,0,0,0,7006
Ghana,3778,2018,820,254,38,0,0,6908
Estonia,1863,2068,1903,978,14,0,0,6826
Mauritania,3934,2572,182,30,2,0,0,6720
Haiti,3683,2233,655,92,0,0,0,6663
Thailand,1566,1739,1730,1182,72,0,0,6289
Niger,1848,1982,1596,511,11,0,0,5948
Ethiopia,3972,1683,159,73,0,0,0,5887
Albania,2693,1221,975,728,91,0,0,5708
Burkina Faso,1431,1590,1555,921,86,0,0,5583
Chad,2014,2155,1345,9,0,0,0,5523
Andorra,1404,1545,1518,917,39,0,0,5423
Tunisia,1350,1482,1414,940,64,0,0,5250
Kosovo,3006,1019,869,329,6,0,0,5229
Bahrain,3094,1441,349,190,41,0,0,5115
San Marino,1134,1260,1280,1094,318,0,0,5086
Nicaragua,2584,1791,436,51,5,0,0,4867
Cote d'Ivoire,2273,1443,772,226,3,0,0,4717
Sierra Leone,1724,1565,869,28,0,0,0,4186
Venezuela,2619,880,325,266,11,0,0,4101
Tajikistan,1499,1501,915,0,0,0,0,3915
Lebanon,1061,934,799,616,110,0,0,3520
Liberia,1490,962,687,202,0,0,0,3341
Djibouti,1516,1210,244,41,0,0,0,3011
Uzbekistan,1858,564,363,144,9,0,0,2938
Congo (Brazzaville),1280,832,427,157,0,0,0,2696
Slovakia,756,840,832,260,4,0,0,2692
Zambia,2021,372,188,62,0,0,0,2643
Gabon,1242,878,320,45,12,0,0,2497
Latvia,825,835,613,185,0,0,0,2458
Uruguay,840,726,606,280,4,0,0,2456
Singapore,716,763,655,282,25,0,0,2441
Guinea,1021,779,472,84,0,0,0,2356
Equatorial Guinea,1358,660,219,9,0,0,0,2246
New Zealand,594,660,652,272,3,0,0,2181
Costa Rica,1275,356,260,122,24,0,0,2037
Central African Republic,1441,559,10,0,0,0,0,2010
South Sudan,1110,780,116,0,0,0,0,2006
Tanzania,567,630,616,171,1,0,0,1985
Cyprus,513,548,506,354,41,0,0,1962
Madagascar,1304,356,39,0,0,0,0,1699
Paraguay,732,372,329,204,26,0,0,1663
Nepal,1033,569,58,0,0,0,0,1660
Malawi,1263,223,101,53,0,0,0,1640
Libya,1156,316,102,38,0,0,0,1612
Montenegro,701,277,269,122,10,0,0,1379
West Bank and Gaza,1143,99,71,51,6,0,0,1370
Guyana,467,360,315,183,21,0,0,1346
Togo,414,397,346,133,5,0,0,1295
Guinea-Bissau,691,462,133,5,0,0,0,1291
Georgia,413,410,339,104,0,0,0,1266
Bahamas,297,330,341,235,0,0,0,1203
Mauritius,270,300,310,255,26,0,0,1161
Iceland,270,300,310,234,27,0,0,1141
Sri Lanka,297,330,279,193,6,0,0,1105
Benin,733,264,73,25,0,0,0,1095
Angola,717,210,85,60,6,0,0,1078
Jordan,278,270,278,200,15,0,0,1041
Jamaica,270,298,277,147,13,0,0,1005
Syria,590,202,104,72,5,0,0,973
Sao Tome and Principe,370,367,213,0,0,0,0,950
Trinidad and Tobago,216,240,248,229,16,0,0,949
Zimbabwe,520,142,124,86,9,0,0,881
Cabo Verde,515,218,83,30,8,0,0,854
Taiwan*,189,210,207,171,49,14,0,840
Malta,243,270,181,71,0,0,0,765
Eswatini,541,150,57,15,0,0,0,763
Barbados,189,210,217,122,0,0,0,738
Suriname,495,167,31,28,0,0,0,721
Maldives,360,235,108,2,0,0,0,705
Burma,162,180,186,110,1,0,0,639
Monaco,108,120,124,70,3,0,0,425
Mozambique,246,104,11,0,0,0,0,361
Comoros,189,117,31,0,0,0,0,337
Antigua and Barbuda,81,90,93,62,0,0,0,326
Brunei,81,75,36,30,4,0,0,226
Belize,54,60,62,46,0,0,0,222
Gambia,98,41,31,30,9,0,0,209
Rwanda,108,59,2,0,0,0,0,169
Botswana,28,30,31,30,1,0,0,120
Liechtenstein,27,31,31,27,0,0,0,116
Burundi,27,30,31,18,0,0,0,106
Lesotho,98,0,0,0,0,0,0,98
Namibia,72,0,0,0,0,0,0,72
Western Sahara,27,30,6,0,0,0,0,63
Uganda,6,0,0,0,0,0,0,6
Papua New Guinea,2,0,0,0,0,0,0,2
Laos,0,0,0,0,0,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0
Grand Total,15709667,13309053,9609604,4311214,397601,46875,889,43384903
